# Delezi kaosa pri razlicnih energijah (E je najvecja dovoljena energija)
# Ljapunovi eksponenti so fitani kot a+b/x, kaos je tam, kjer je a > sigma(a)
# Narejeno pri N=200 tockah za vsako energijo in 200*2 ponovitvah Poincarejeve preslikave v vsaki tocki

# Lamb  | E=1   | E=10  | E=3   | E=30
0       0.085   0.08    0.105   0.125
0.1     0.085   0.085   0.095   0.085
0.2     0.04    0.1     0.11    0.105
0.3     0.1     0.095   0.17    0.11
0.4     0.34    0.17    0.27    0.12
0.5     0.685   0.205   0.45    0.11
0.6     0.825   0.22    0.45    0.09
0.7     0.925   0.275   0.505   0.13
0.8     0.965   0.3     0.575   0.1
0.9     0.94    0.34    0.65    0.12
1       0.915   0.315   0.605   0.155
1.1     0.825   0.39    0.64    0.15
1.2     0.77    0.37    0.56    0.155
1.3     0.715   0.42    0.665   0.21
1.4     0.655   0.39    0.67    0.235
1.5     0.63    0.43    0.695   0.24
1.6     0.5     0.44    0.585   0.25
1.7     0.545   0.47    0.595   0.225
1.8     0.49    0.49    0.625   0.27
1.9     0.41    0.48    0.59    0.235
2       0.475   0.485   0.585   0.325
