# Rank	Rmax	Rpeak
1	10510000	11280384
2	2566000	4701000
3	1759000	2331000
4	1271000	2984300
5	1192000	2287630
6	1110000	1365811.2
7	1088000	1315328
8	1054000	1288627.2
9	1050000	1254550
10	1042000	1375776
11	919100	1173000
12	831400	1043942.4
13	825500	1002701
14	795900	1070160
15	773700	961126.4
16	771700	1342750.72
17	677104	838861
18	674105	1373060
19	660243	829030.4
20	565700	715981
21	496500	1012650
22	478200	596378
23	458611	557056
24	433500	497396
25	433200	579379.2
26	415700	501350
27	360868	442368
28	360868	442368
29	339834	419430.4
30	336300	410035.2
31	316400	379008
32	316400	379008
33	299300	508499.2
34	297000	402124.8
35	295500	400435
36	274800	308282.88
37	274800	307439.04
38	266300	355506
39	251800	301777
40	243900	296110
41	240300	316915.2
42	240090	354099.2
43	237800	267878.4
44	237200	305625.6
45	236100	292864
46	230600	340915
47	219838	270538
48	218100	262246
49	205100	258048
50	204200	284000
51	194400	259660.8
52	191400	200080
53	190900	222822.4
54	186900	215654.4
55	185100	251396.1
56	185100	251396.1
57	185100	251396.1
58	180600	233472
59	179634.4	247040
60	177100	231859
61	176700	206668.8
62	174900	235683.84
63	174900	235683.84
64	172494	209715.2
65	172494	209715.2
66	168800	191270.4
67	168600	306028.8
68	166700	243667
69	165600	201216
70	162098	183675.84
71	161800	382648.32
72	161800	180019.2
73	160200	172032
74	159600	212115
75	154000	274560
76	153000	193689.6
77	152900	182829
78	152200	175257.6
79	149900	196465
80	146000	194073.6
81	145600	167362
82	142700	293171
83	136300	153216
84	133200	172032
85	132800	172608
86	131600	162200
87	131200	163430.4
88	128790	162408.96
89	126500	161856
90	126500	148116
91	126399.82	139889.92
92	125800	149990
93	124600	145152
94	122400	131072
95	121600	168907
96	120400	238201.6
97	119310	139264
98	115900	151603.2
99	115900	156416
100	115900	156416
101	110600	121282
102	109900	198161.6
103	109300	120422.4
104	109200	118810
105	108701	193514.08
106	108500	129998
107	107448	140160
108	107100	120729.6
109	107100	120729.6
110	106998	124416
111	106300	193848.6
112	106100	122880
113	105900	168000
114	103200	182881.44
115	102800	145965
116	102200	127200
117	102044	125698.05
118	101741	138956
119	101213.2	123648
120	100500	239866
121	100400	117000
122	98423	128742.4
123	97959	175521.28
124	97959	175521.28
125	97940	106042
