1 	Wal-Mart Stores 	408214 	14335
2 	Royal Dutch Shell 	285129 	12518
3 	Exxon Mobil 	284650 	19280
4 	BP 	246138 	16578
5 	Toyota Motor 	204106 	2256
6 	Japan Post Holdings 	202196 	4849
7 	Sinopec 	187518 	5756
8 	State Grid 	184496 	-343
9 	AXA 	175257 	5012
10 	China National Petroleum 	165496 	10272
11 	Chevron 	163527 	10483
12 	ING Group 	163204 	-1300
13 	General Electric 	156779 	11025
14 	Total 	155887 	11741
15 	Bank of America Corp. 	150450 	6276
16 	Volkswagen 	146205 	1334
17 	ConocoPhillips 	139515 	4858
18 	BNP Paribas 	130708 	8106
19 	Assicurazioni Generali 	126012 	1820
20 	Allianz 	125999 	5973
21 	AT&T 	123018 	12535
22 	Carrefour 	121452 	454
23 	Ford Motor 	118308 	2717
24 	ENI 	117235 	6070
25 	J.P. Morgan Chase & Co. 	115632 	11728
26 	Hewlett-Packard 	114552 	7660
27 	E.ON 	113849 	11670
28 	Berkshire Hathaway 	112493 	8055
29 	GDF Suez 	111069 	6223
30 	Daimler 	109700 	-3670
31 	Nippon Telegraph & Telephone 	109656 	5302
32 	Samsung Electronics 	108927 	7562
33 	Citigroup 	108785 	-1606
34 	McKesson 	108702 	1263
35 	Verizon Communications 	107808 	3651
36 	Crédit Agricole 	106538 	1564
37 	Banco Santander 	106345 	12430
38 	General Motors 	104589 	--
39 	HSBC Holdings 	103736 	5834
40 	Siemens 	103605 	3097
41 	American International Group 	103189 	-10949
42 	Lloyds Banking Group 	102967 	4409
43 	Cardinal Health 	99613 	1152
44 	Nestlé 	99114 	9604
45 	CVS Caremark 	98729 	3696
46 	Wells Fargo 	98636 	12275
47 	Hitachi 	96593 	-1152
48 	International Business Machines 	95758 	13425
49 	Dexia Group 	95144 	1404
50 	Gazprom 	94472 	24556
51 	Honda Motor 	92400 	2891
52 	Électricité de France 	92204 	5428
53 	Aviva 	92140 	1692
54 	Petrobras 	91869 	15504
55 	Royal Bank of Scotland 	91767 	-4167
56 	PDVSA 	91182 	1608
57 	Metro 	91152 	532
58 	Tesco 	90234 	3690
59 	Deutsche Telekom 	89794 	491
60 	Enel 	89329 	7499
61 	UnitedHealth Group 	87138 	3822
