Caspian Sea Azerbaijan-Russia-Kazakhstan-Turkmenistan-Iran1 	152239 	394299 	745 	1199 	3104 	946
Superior U.S.-Canada 	31820 	82414 	383 	616 	1333 	406
Victoria Tanzania-Uganda 	26828 	69485 	200 	322 	270 	82
Huron U.S.-Canada 	23010 	59596 	247 	397 	750 	229
Michigan U.S. 	22400 	58016 	321 	517 	923 	281
Aral Kazakhstan-Uzbekistan 	13000	33800 	266 	428 	223 	68
Tanganyika Tanzania-Congo	12700 	32893 	420 	676 	4708 	1435
Baikal Russia 	12162 	31500 	395 	636 	5712 	1741
Great Bear Canada 	12000 	31080 	232 	373 	270 	82
Nyasa Malawi-Mozambique-Tanzania 	11600 	30044 	360 	579 	2316 	706
Great Slave Canada 	11170 	28930 	298 	480 	2015 	614
Chad2 Chad-Niger-Nigeria 	9946 	25760 	— 	— 	23 	7
Erie U.S.-Canada 	9930 	25719 	241 	388 	210 	64
Winnipeg Canada 	9094 	23553 	264 	425 	204 	62
Ontario U.S.-Canada 	7520 	19477 	193 	311 	778 	237
Balkhash Kazakhstan 	7115 	18428 	376 	605 	87 	27
Ladoga Russia 	7000 	18130 	124 	200 	738 	225
Onega Russia 	3819 	9891 	154 	248 	361 	110
Titicaca Bolivia-Peru 	3141 	8135 	110 	177 	1214 	370
Nicaragua Nicaragua 	3089 	8001 	110 	177 	230 	70
Athabaska Canada 	3058 	7920 	208 	335 	407 	124
Rudolf Kenya 	2473 	6405 	154 	248 	— 	—
Reindeer Canada 	2444 	6330 	152 	245 	— 	—
Eyre South Australia 	24003 	6216 	130 	209 	varies 	varies
Issyk-Kul Kyrgyzstan 	2394 	6200 	113 	182 	2297 	700
Urmia2 Iran 	2317 	6001 	81 	130 	49 	15
Torrens South Australia 	2200 	5698 	130 	209 	— 	—
Vänern Sweden 	2141 	5545 	87 	140 	322 	98
Winnipegosis Canada 	2086 	5403 	152 	245 	59 	18
Mobutu Sese Seko Uganda 	2046 	5299 	100 	161 	180 	55
Nettilling Baffin Island Canada 	1950 	5051 	70 	113 	— 	—
Nipigon Canada 	1870 	4843 	72 	116 	— 	—
Manitoba Canada 	1817 	4706 	140 	225 	22 	7
Great Salt U.S. 	1800 	4662 	75 	121 	15–25 	5–8
Kioga Uganda 	1700 	4403 	50 	80 	about 30 	9
