New York	 NY	7322564	7071639	250925	3.5	1	1	114 
Los Angeles	 CA	3485398	2968528	516870	17.4	2	3	66 
Chicago	 IL	2783726	3005072	-221346	-7.4	3	2	177 
Houston	 TX	1630553	1595138	35415	2.2	4	5	125 
Philadelphia	 PA	1585577	1688210	-102633	-6.1	5	4	171 
San Diego	 CA	1110549	875538	235011	26.8	6	8	49 
Detroit	 MI	1027974	1203368	-175394	-14.6	7	6	191 
Dallas	 TX	1006877	904599	102278	11.3	8	7	80 
Phoenix	 AX	983403	789704	193699	24.5	9	9	51 
San Antonio	 TX	935933	785940	149993	19.1	10	11	61 
San Jose	 CA	782248	629400	152848	24.3	11	17	52 
Indianapolis	 IN (consolidated city)	741952	711539	30413	4.3	12	12	111 
Baltimore	 MD	736014	786741	-50727	-6.4	13	10	173 
San Francisco	 CA	723959	678974	44985	6.6	14	13	99 
Jacksonville	 FL (consolidated city)	672971	571003	101968	17.9	15	19	65 
Columbus	 OH	632910	565021	67889	12.0	16	20	74 
Milwaukee	 WI	628088	636297	-8209	-1.3	17	16	146 
Memphis	 TN	610337	646174	-35837	-5.5	18	14	167 
Washington	 DC	606900	638432	-31532	-4.9	19	15	164 
Boston	 MA	574283	562994	11289	2.0	20	21	127 
Seattle	 WA	516259	493846	22413	4.5	21	23	110 
El Paso	 TX	515342	425259	90083	21.2	22	28	57 
Nashville-Davidson	 TN (consolidated city)	510784	477811	32973	6.9	23	25	96 
Cleveland	 OH	505616	573822	-68206	-11.9	24	18	188 
New Orleans	 LA	496938	557927	-60989	-10.9	25	22	186 
Denver	 CO	467610	492686	-25076	-5.1	26	24	165 
Austin	 TX	465622	345890	119732	34.6	27	42	32 
Fort Worth	 TX	447619	385164	62455	16.2	28	33	69 
Oklahoma City	 OK	444719	404014	40705	10.1	29	31	85 
Portland	 OR	437319	368148	69171	18.8	30	35	63 
Kansas City	 MO	435146	448028	-12882	-2.9	31	27	153 
Long Beach	 CA	429433	361498	67935	18.8	32	37	62 
Tucson	 AZ	405390	330537	74853	22.6	33	45	55 
St Louis	 MO	396685	452801	-56116	-12.4	34	26	189 
Charlotte	 NC	395934	315474	80460	25.5	35	47	50 
Atlanta	 GA	394017	425022	-31005	-7.3	36	29	176 
Virginia Beach	 VA	393069	262199	130870	49.9	37	56	17 
Albuquerque	 NM	384736	332920	51816	15.6	38	44	71 
Oakland	 CA	372242	339337	32905	9.7	39	43	87 
Pittsburgh	 PA	369879	423959	-54080	-12.8	40	30	190 
Sacramento	 CA	369365	275741	93624	34.0	41	52	34 
Minneapolis	 MN	368383	370951	-2568	-0.7	42	34	145 
Tulsa	 OK	367302	360919	6383	1.8	43	38	128 
Honolulu CDP	 HI	365272	365048	224	0.1	44	36	137 
Cincinnati	 OH	364040	385409	-21369	-5.5	45	32	166 
Miami	 FL	358548	346681	11867	3.4	46	41	117 
Fresno	 CA	354202	217491	136711	62.9	47	65	9 
Omaha	 NE	335795	313939	21856	7.0	48	48	95 
Toledo	 OH	332943	354635	-21692	-6.1	49	40	172 
Buffalo	 NY	328123	357870	-29747	-8.3	50	39	179 
Wichita	 KS	304011	279838	24173	8.6	51	51	90 
Santa Ana	 CA	293742	204023	89719	44.0	52	69	19 
Mesa	 AZ	288091	152404	135687	89.0	53	102	1 
Colorado Springs	 CO	281140	215105	66035	30.7	54	66	42 
Tampa	 FL	280015	271577	8438	3.1	55	53	118 
