# x0 = y0, u0, v0, t, x, u, v, delta0.05,	0.05,	0.05,	2.2262,	0.0137983,	-0.0406399,	0.0452796,	1.86803e-07
0.05,	0.06,	0.05,	2.02631,	0.0125489,	-0.0340719,	0.0518961,	1.66521e-07
0.05,	0.07,	0.05,	2.00354,	0.0124069,	-0.0336579,	0.052315,	2.47957e-07
0.05,	0.08,	0.05,	7.77091,	0.0489498,	-0.00964314,	0.108961,	0.196484
0.05,	0.09,	0.05,	2.27442,	0.0136863,	-0.008806,	0.133544,	0.0742022
0.05,	0.1,	0.05,	6.774,	0.0415763,	-0.00815886,	0.12344,	0.150666
0.05,	0.11,	0.05,	5.2214,	0.0318942,	-0.00799604,	0.125571,	0.126422
0.05,	0.12,	0.05,	2.42168,	0.0136297,	-0.115478,	0.131755,	1.20671e-07
0.05,	0.13,	0.05,	2.00192,	0.0121189,	-0.0149477,	0.128721,	0.073835
0.05,	0.14,	0.05,	2.0008,	0.0153404,	-0.0071637,	0.142327,	0.0552459
0.05,	0.15,	0.05,	2.00263,	0.0152352,	-0.111457,	0.0172472,	0.0385364
0.05,	0.16,	0.05,	2.72953,	0.0188143,	-0.0538085,	0.0880618,	5.96011e-07
0.05,	0.17,	0.05,	2.13374,	0.0146154,	-0.0421187,	0.100449,	7.95949e-08
0.05,	0.18,	0.05,	2.00015,	0.00840166,	-0.297701,	0.160549,	0.00715262
0.05,	0.19,	0.05,	2.00171,	0.00844466,	-0.300005,	0.153287,	0.00820662
0.05,	0.2,	0.05,	9.59035,	0.0391377,	-0.312563,	0.229039,	8.71651e-08
0.05,	0.21,	0.05,	6.40301,	0.0511001,	-0.00981694,	0.120307,	0.163644
0.05,	0.22,	0.05,	6.631,	0.039956,	-0.236449,	0.114981,	5.49292e-07
0.05,	0.23,	0.05,	5.76258,	0.0511609,	-0.0516444,	0.0194485,	0.135192
0.05,	0.24,	0.05,	7.19191,	0.0371342,	-0.294807,	0.118098,	3.11464e-06
0.05,	0.25,	0.05,	8.02528,	0.0482744,	-0.232699,	0.125708,	2.95621e-07
0.05,	0.26,	0.05,	2.05982,	0.0136151,	-0.182005,	0.127714,	6.2966e-07
0.05,	0.27,	0.05,	8,	0.05,	-0.27,	0.05,	0.586447
0.05,	0.28,	0.05,	8,	0.05,	-0.28,	0.05,	0.713555
0.05,	0.29,	0.05,	8,	0.05,	-0.29,	0.05,	0.378778
0.05,	0.3,	0.05,	8,	0.05,	-0.3,	0.05,	0.148698
0.05,	0.31,	0.05,	8,	0.05,	-0.31,	0.05,	0.261313
0.05,	0.32,	0.05,	8.1973,	-0.00863614,	-0.676768,	0.182202,	0.478821
0.05,	0.33,	0.05,	6.77805,	0.0677013,	-0.169023,	0.0206751,	0.20165
0.05,	0.34,	0.05,	11.9576,	0.0871922,	-0.229466,	0.229466,	1.259e-07
0.05,	0.35,	0.05,	2.00059,	0.0101303,	-0.403249,	0.0977401,	0.0169619
0.05,	0.36,	0.05,	2.00019,	0.0103083,	-0.399438,	0.0947207,	0.0227068
0.05,	0.37,	0.05,	8,	0.05,	-0.37,	0.05,	0.39045
0.05,	0.38,	0.05,	8,	0.05,	-0.38,	0.05,	0.522454
0.05,	0.39,	0.05,	8,	0.05,	-0.39,	0.05,	0.59445
0.05,	0.4,	0.05,	8,	0.05,	-0.4,	0.05,	0.635889
0.05,	0.41,	0.05,	8,	0.05,	-0.41,	0.05,	0.574536
0.05,	0.42,	0.05,	8.33393,	0.0525897,	-0.422082,	0.00237032,	0.0988958
0.05,	0.43,	0.05,	8.37647,	0.0476822,	-0.446877,	0.00234361,	0.0768705
0.05,	0.44,	0.05,	7.76851,	0.0703729,	-0.227921,	0.227921,	1.52889e-07
0.05,	0.45,	0.05,	8,	0.05,	-0.45,	0.05,	0.721872
0.05,	0.46,	0.05,	8,	0.05,	-0.46,	0.05,	0.981506
0.05,	0.47,	0.05,	4.09552,	0.0491774,	-0.226459,	0.226459,	2.62977e-08
0.05,	0.48,	0.05,	9.11711,	0.112095,	-0.23241,	0.23241,	1.08574e-07
0.05,	0.49,	0.05,	8,	0.05,	-0.49,	0.05,	0.428305
0.05,	0.05,	0.06,	2.00927,	0.0124271,	-0.0286586,	0.0574202,	6.68067e-07
0.05,	0.06,	0.06,	2.01748,	0.0124982,	-0.0360458,	0.0498937,	6.79587e-08
0.05,	0.07,	0.06,	7.16702,	0.0445884,	-0.00896309,	0.115343,	0.175165
0.05,	0.08,	0.06,	3.49745,	0.0212276,	-0.00776889,	0.128728,	0.100528
0.05,	0.09,	0.06,	4.02962,	0.0243451,	-0.00763638,	0.132007,	0.0962191
